"시점","시도별",총지수,생활물가지수
"2020.01","서울특별시",99.80,99.99
"2020.02","서울특별시",99.84,100.03
"2020.03","서울특별시",99.83,100.21
"2020.04","서울특별시",99.61,99.75
"2020.05","서울특별시",99.65,99.65
"2020.06","서울특별시",99.91,100.04
"2020.07","서울특별시",99.74,99.46
"2020.08","서울특별시",100.27,100.13
"2020.09","서울특별시",100.70,101.08
"2020.10","서울특별시",100.23,99.86
"2020.11","서울특별시",100.14,99.90
"2020.12","서울특별시",100.27,99.90
"2021.01","서울특별시",100.86,100.86
"2021.02","서울특별시",101.33,101.73
"2021.03","서울특별시",101.57,102.15
"2021.04","서울특별시",101.68,102.24
"2021.05","서울특별시",101.74,102.21
"2021.06","서울특별시",101.68,102.26
"2021.07","서울특별시",101.88,102.23
"2021.08","서울특별시",102.33,102.72
"2021.09","서울특별시",102.67,103.52
"2021.10","서울특별시",102.90,103.76
"2021.11","서울특별시",103.20,104.16
"2021.12","서울특별시",103.32,103.81
"2022.01","서울특별시",104.09,104.85
"2022.02","서울특별시",104.70,105.91
"2022.03","서울특별시",105.09,106.63
"2022.04","서울특별시",105.73,107.32
"2022.05","서울특별시",106.29,108.05
"2022.06","서울특별시",106.85,108.82
"2022.07","서울특별시",107.47,109.37
"2022.08","서울특별시",107.65,109.36
"2022.09","서울특별시",107.78,109.94
"2022.10","서울특별시",108.12,110.23
"2022.11","서울특별시",108.00,109.94
"2022.12","서울특별시",108.46,110.23
"2023.01","서울특별시",109.22,111.32
"2023.02","서울특별시",109.60,111.94
"2023.03","서울특별시",109.77,112.15
"2023.04","서울특별시",109.94,112.27
"2023.05","서울특별시",110.37,112.94
"2023.06","서울특별시",110.50,113.07
"2023.07","서울특별시",110.63,112.94
"2023.08","서울특별시",111.69,114.64
"2023.09","서울특별시",112.05,115.59
"2023.10","서울특별시",112.49,116.10
"2023.11","서울특별시",111.97,115.27
"2023.12","서울특별시",112.24,115.22
"2024.01","서울특별시",112.59,115.84
